,session_id,customer_id,device,session_start
0,1,2,desktop,2014-01-01 00:00:00
1,2,5,mobile,2014-01-01 00:17:20
2,3,4,mobile,2014-01-01 00:28:10
3,4,1,mobile,2014-01-01 00:44:25
4,5,4,mobile,2014-01-01 01:11:30
5,6,1,tablet,2014-01-01 01:23:25
6,7,3,tablet,2014-01-01 01:39:40
7,8,4,tablet,2014-01-01 01:55:55
8,9,1,desktop,2014-01-01 02:15:25
9,10,2,tablet,2014-01-01 02:31:40
10,11,4,mobile,2014-01-01 02:47:55
11,12,4,desktop,2014-01-01 03:04:10
12,13,4,mobile,2014-01-01 03:15:00
13,14,1,tablet,2014-01-01 03:28:00
14,15,2,desktop,2014-01-01 03:41:00
15,16,2,desktop,2014-01-01 03:49:40
16,17,2,tablet,2014-01-01 04:00:30
17,18,1,desktop,2014-01-01 04:14:35
18,19,3,desktop,2014-01-01 04:27:35
19,20,5,desktop,2014-01-01 04:46:00
20,21,4,desktop,2014-01-01 05:02:15
21,22,4,desktop,2014-01-01 05:21:45
22,23,3,desktop,2014-01-01 05:32:35
23,24,5,tablet,2014-01-01 05:44:30
24,25,3,desktop,2014-01-01 05:59:40
25,26,1,tablet,2014-01-01 06:17:00
26,27,1,mobile,2014-01-01 06:34:20
27,28,5,mobile,2014-01-01 06:50:35
28,29,1,mobile,2014-01-01 07:10:05
29,30,5,desktop,2014-01-01 07:27:25
30,31,2,mobile,2014-01-01 07:42:35
31,32,5,mobile,2014-01-01 08:02:05
32,33,2,mobile,2014-01-01 08:10:45
33,34,3,desktop,2014-01-01 08:24:50
34,35,3,mobile,2014-01-01 08:44:20
